,Time,User,Tweet,Country
0,2023-01-26 13:52:44+00:00,Rp79688328Peter,"@ZenithBank Hello someone, I am trying to make a transfer but is not working",
1,2023-01-26 13:48:55+00:00,NathanKale9,@ZenithBank Na lie 😂😂 don’t fall for it 😭 O ju e ma bo 😭😂😂🤲,
2,2023-01-26 13:45:57+00:00,foxzyhopez,"@ZenithBank refund my money back na..
It one week today .. failed Airtime transaction .Why are you treating customers like this..I'm a very old customer and I'm loosing patient with your banking system and flaws as it is.",
3,2023-01-26 13:45:34+00:00,shalzy_a,"RT @Jeyon1: in order for me to get well, i have to use my meds &amp; i have to eat; meanwhile, even to swallow my saliva? very painful! not to…",
4,2023-01-26 13:43:58+00:00,Uncle_kunle,"RT @Jeyon1: in order for me to get well, i have to use my meds &amp; i have to eat; meanwhile, even to swallow my saliva? very painful! not to…",
5,2023-01-26 13:43:52+00:00,BanjokoSamuelo2,@ZenithBank Good evening bank zenith pls y your atm not work every time den new money is not in the atm machine,
6,2023-01-26 13:43:42+00:00,melanchillo,"@ZenithBank is God that will punish you guys ooo... you find it so easy to debit someone, but for fund to drop its hard....",
7,2023-01-26 13:42:35+00:00,BusayoAdemiku1,"RT @BusayoAdemiku1: Does @officialABAT now look like @ZenithBank ,@gtbank or @FirstBankngr branch?, @OfficialAPCNg causing more damages to…",
8,2023-01-26 13:42:29+00:00,BusayoAdemiku1,"Does @officialABAT now look like @ZenithBank ,@gtbank or @FirstBankngr branch?, @OfficialAPCNg causing more damages to Mr @officialABAT .
@OfficialAPCNg @officialABAT @officialEFCC @icpcnigeria https://t.co/tGuqhkvPhc",
9,2023-01-26 13:42:15+00:00,thaajir,@ZenithBank @OlaideOlumide1 I need some more information about Zenith Bank,
10,2023-01-26 13:40:28+00:00,akpakan_koko,"@ZenithBank what is it with ELECTRONIC MONEY TRANSFER LEVY for minutest of transaction?

This is fraudulent! Only that we don’t have a working system. 
Nigeria will happen to you one way or the other.",
