,Time,User,Tweet,Country,No of retweet
0,2023-01-27 15:01:31+00:00,oguine_dav,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…","Lagos, Nigeria",1255
1,2023-01-27 15:01:29+00:00,Maujayhomes,@martynRakim @a_ma_ka__ @ZenithBank hmm,Nigeria,0
2,2023-01-27 15:01:19+00:00,gmaxino1,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",,1255
3,2023-01-27 15:00:58+00:00,potos_007,@ZenithBank Are you going to open on Monday 31th?,United Kingdom,0
4,2023-01-27 15:00:35+00:00,__DeborahEmeni_,@a_ma_ka__ @ZenithBank Nice!,Somewhere on an Island,0
5,2023-01-27 15:00:31+00:00,_imefawulo,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,,158
6,2023-01-27 15:00:21+00:00,DeevaOfficial,"RT @Jeyon1: hello @fccpcnigeria? good morning, i have just signed up/submitted my case in order to be able to petition @ZenithBank in regar…","Lagos, Nigeria",66
7,2023-01-27 15:00:03+00:00,Davo_Act,If ever I use @ZenithBank @gtbank again make thunder strike me,"Carlisle, England",0
8,2023-01-27 14:59:00+00:00,Muhamma14643551,"RT @ZenithBank: Important Public Notice!

#ZenithBank #NewNairaNotes #NairaRedesign #2023 #Nigeria #CBN https://t.co/1fCswN9S89",8876,21
9,2023-01-27 14:58:27+00:00,Mrseun7,"What is happening @ZenithBank. I bought data bundle directly from my bank account via ussd, 1st purchase was around 7am yesterday 26/01/2023 which the transaction failed and I purchased another which appeared to fail too. My money has not been reversed till date cc @cenbank",Nigeria,0
10,2023-01-27 14:58:21+00:00,danielCjerry,"Dear @joinkuda I'd advice that you buy @ZenithBank  because from the look of things, it seems your network is stronger than theirs... Zenith don dey d!e small small oooo",,0
11,2023-01-27 14:58:11+00:00,Alaowahab4,"RT @ZenithBank: Dear Valued Customer,

07040004422 (ZIVA)
is the only Zenith Bank Whatsapp number.
ALL OTHERS ARE FAKE!
DO NOT ENGAGE WITH…",,74
12,2023-01-27 14:58:06+00:00,Ashake__,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,Funds Island,158
13,2023-01-27 14:57:49+00:00,OffYungalhaji,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…","Lagos, Nigeria",1255
14,2023-01-27 14:57:15+00:00,shakashiky,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…","Ogun, Nigeria",1255
15,2023-01-27 14:56:36+00:00,eddyfontaine,RT @Jeyon1: @ZenithBank where is my money? where is the missing 11.4m? @cenbank why aren't u doing anything abt this or the mails?? @fccpcn…,Fantasia,158
16,2023-01-27 14:56:05+00:00,uzamatt,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",Eko Federal!,1255
