,id,Time,User,Tweet,No of retweet,likes,Country,Tweet source,Verified
0,1621113047560650752,2023-02-02 11:47:24+00:00,boscojay2000,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,,Twitter for iPhone,False
1,1621113032288911360,2023-02-02 11:47:20+00:00,Mejanekalik,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,,Twitter for iPhone,False
2,1621112997740482561,2023-02-02 11:47:12+00:00,creme_pearlie,RT @digispikex: @azeezt_abubakar @ZenithBank @instablog9ja @cenbank Same thing happened with me. They promised it'll be done in 30 days. It…,3,0,Happy place 🃏,Twitter for iPhone,False
3,1621112986055376897,2023-02-02 11:47:09+00:00,digispikex,@creme_pearlie @azeezt_abubakar @ZenithBank @instablog9ja @cenbank Zenith bank is a bank of thieves,0,1,Entropy,Twitter for Android,False
4,1621112906908827648,2023-02-02 11:46:50+00:00,MixDoniagee,RT @MixDoniagee: Attracting investment in Nigeria @StateDept @Amazon @usbaec @mercedesBenz @USPS @WorldRemit @WesternUnion @MoneyGram @PayP…,15,0,VintageOlisa🪐⚡️,Twitter for iPhone,False
5,1621112845416148992,2023-02-02 11:46:35+00:00,2hotchillz,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,Lagos,Twitter for Android,False
6,1621112758862336000,2023-02-02 11:46:15+00:00,lola_shuga,@joinkuda @kudahelp_ng @joinkuda @helpkuda_ng Kuda please reverse the 61k I sent from my @ZenithBank please😭😭😭💔 that’s my school fees. I have been crying since yesterday. Now Kuda is working and I can’t still see my school fees in there😭😭💔. https://t.co/ayx7s2CfEr,0,0,,Twitter for iPhone,False
7,1621112744748486657,2023-02-02 11:46:11+00:00,FTXOfficial7,@ZenithBank @holarwole12 @VillageParrot @mistadm002 @UNIONBANK_NG Yall.....Zenith is messing up real bad,0,0,,Twitter for Android,False
8,1621112727648481280,2023-02-02 11:46:07+00:00,AdemuyiwaOba,"RT @Gabrielapogee: It is now easier to ""drive"" an aeroplane (apologies to the invisible CJN) than to use my @ZenithBank and @gtbank Interne…",2,0,Àbétè,Twitter for Android,False
9,1621112705506758656,2023-02-02 11:46:02+00:00,fatimaaliu,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,"Abuja, Nigeria",Twitter for iPhone,False
10,1621112702499442689,2023-02-02 11:46:01+00:00,iNtroonme50,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,Guitars forte,Twitter for iPhone,False
11,1621112678209961985,2023-02-02 11:45:55+00:00,adedoyeean,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,Home,Twitter for Android,False
12,1621112555417788419,2023-02-02 11:45:26+00:00,cyrilnsofor1,"@ZenithBank should close their bank if they can't operate efficiently. Suffering innocent customers for no reasons will not be supported , no cash , you can't transfer money   from one bank to other ..so sad",0,0,"Lagos, Nigeria",Twitter for Android,False
13,1621112489130819585,2023-02-02 11:45:10+00:00,ScarTissue101,@Echecrates @ZenithBank has been smoking something nasty recently!,0,0,La Ciudad De Las Gidi,Twitter for Android,False
14,1621112418943520768,2023-02-02 11:44:54+00:00,Peppersprayno1,"I complained to @ZenithBank that 200k was fraudulently removed from my account, the only solution they could provide was to restrict my account. The day I will visit this bank, it will be to urrestrict my account, take out the remaining money and then close the account.",0,1,"Lagos, Nigeria",Twitter for Android,False
15,1621112416774799363,2023-02-02 11:44:53+00:00,spudy1990,@ZenithBank have you resolve your transfer problems?.....,0,0,,Twitter for Android,False
16,1621112311682568193,2023-02-02 11:44:28+00:00,tejiiriii,@ZenithBank Please reply my dm. My mum needs treatment!! Your bank is holding my money,0,0,"Lagos, Nigeria",Twitter for Android,False
17,1621112310956986368,2023-02-02 11:44:28+00:00,meedey02,@bod_republic @ZenithBank has been very good at what dey do till recently that money transfer is something else,0,0,Lagos Nigeria,Twitter for Android,False
18,1621112286172663810,2023-02-02 11:44:22+00:00,adewoyeangel,@ZenithBank money sent to my account hasn’t reflected for over an hour please do something 🙏🏽,0,0,Somewhere in Europe,Twitter for iPhone,False
19,1621112246264020992,2023-02-02 11:44:12+00:00,OkoyeCe,@JasonSignature @bod_republic @ZenithBank My brother... @ZenithBank has to be the worst bank in the entire world!,0,0,"Port Harcourt, Nigeria",Twitter for Android,False
20,1621112222880612354,2023-02-02 11:44:07+00:00,yeahilikeher,@ZenithBank the struggle is terrible please do right just this once please...please just this once ...I have a deadline please,0,0,everywhere ,Twitter for Android,False
21,1621112221790248960,2023-02-02 11:44:07+00:00,Folyjay,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,Lagos,Twitter Web App,False
22,1621112156086321154,2023-02-02 11:43:51+00:00,Silverbvck__,"@VillageParrot @ZenithBank is the worst bank, I was charged  1100 naira this week for no just course, how would my weekly charge accumulate to such huge amount and I am just a student. This week I had just 70 naira so my mum sent me 2k, only to check my balance and i saw 970. Infact I cried 😢",0,0,,Twitter for Android,False
23,1621112153657802753,2023-02-02 11:43:50+00:00,max_sticks,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,"Abuja, Nigeria",Twitter for iPhone,False
24,1621112135131754507,2023-02-02 11:43:46+00:00,drackooSzn7,RT @stunnapk: I will shut down your useIess bank tomorrow @ZenithBank #LastDayInTrenches,1,0,Pluto🛸,Twitter for iPhone,False
25,1621112102101590016,2023-02-02 11:43:38+00:00,__Ifunanya_,"RT @Olutwitchy20: Hello @ZenithBank @ZenithBank 

Please,I would like to inquire about this directive by one of your branch; stating clearl…",1,0,"Lagos, Nigeria",Twitter Web App,False
